mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	4/4	1	1	1/8	1/8	1		4	76	E5	5	0
1	1	1/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		-1	77	F5	5	1
1	1	1	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		1	79	G5	5	2
1	1	3/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		3	81	A5	5	3
1	1	2	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		4	76	E5	5	4
1	1	5/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		-1	77	F5	5	5
1	1	3	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		1	79	G5	5	6
1	1	7/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		3	81	A5	5	7
2	2	4	0.25	0	0	4/4	2	1	1/16	1/16	1		4	64	E4	4	8
2	2	17/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	9
2	2	9/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	10
2	2	19/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	11
2	2	5	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	12
2	2	21/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	13
2	2	11/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	14
2	2	23/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	15
2	2	6	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		4	64	E4	4	16
2	2	25/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	17
2	2	13/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	18
2	2	27/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	19
2	2	7	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	20
2	2	29/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	21
2	2	15/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	22
2	2	31/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	23
3	3	8	0.25	0	0	4/4	2	1	1/16	1/16	1		4	64	E4	4	24
3	3	8	4.0	0	0	4/4	2	2	1	1	1		-2	70	Bb4	4	40
3	3	33/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	25
3	3	17/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	26
3	3	35/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	27
3	3	9	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	28
3	3	37/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	29
3	3	19/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	30
3	3	39/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	31
3	3	10	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		4	64	E4	4	32
3	3	41/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	33
3	3	21/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	34
3	3	43/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	35
3	3	11	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	36
3	3	45/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	37
3	3	23/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	38
3	3	47/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	39
4	4	12	0.25	0	0	4/4	2	1	1/16	1/16	1		4	64	E4	4	41
4	4	12	4.0	0	0	4/4	2	2	1	1	1		0	72	C5	5	57
4	4	49/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	42
4	4	25/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	43
4	4	51/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	44
4	4	13	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	45
4	4	53/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	46
4	4	27/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	47
4	4	55/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	48
4	4	14	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		4	64	E4	4	49
4	4	57/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	50
4	4	29/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	51
4	4	59/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	52
4	4	15	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	53
4	4	61/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	54
4	4	31/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	55
4	4	63/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	56
5	5	16	0.25	0	0	4/4	2	1	1/16	1/16	1		4	64	E4	4	58
5	5	16	4.0	0	0	4/4	2	2	1	1	1		-2	70	Bb4	4	74
5	5	65/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	59
5	5	33/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	60
5	5	67/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	61
5	5	17	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	62
5	5	69/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	63
5	5	35/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	64
5	5	71/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	65
5	5	18	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		4	64	E4	4	66
5	5	73/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	67
5	5	37/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	68
5	5	75/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	69
5	5	19	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	70
5	5	77/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	71
5	5	39/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	72
5	5	79/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	73
6	6	20	0.25	0	0	4/4	2	1	1/16	1/16	1		4	64	E4	4	75
6	6	20	4.0	0	0	4/4	2	2	1	1	1		7	73	C#5	5	91
6	6	81/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	76
6	6	41/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	77
6	6	83/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	78
6	6	21	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	79
6	6	85/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	80
6	6	43/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	81
6	6	87/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	82
6	6	22	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		4	64	E4	4	83
6	6	89/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	84
6	6	45/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	85
6	6	91/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	86
6	6	23	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	87
6	6	93/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	88
6	6	47/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	89
6	6	95/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	90
7	7	24	4.0	0	0	4/4	2	2	1	1	1		2	62	D4	4	108
7	7	24	0.25	0	0	4/4	2	1	1/16	1/16	1		2	74	D5	5	92
7	7	97/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	93
7	7	49/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		0	72	C5	5	94
7	7	99/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	95
7	7	25	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	96
7	7	101/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	97
7	7	51/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	98
7	7	103/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	99
7	7	26	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		0	72	C5	5	100
7	7	105/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		2	74	D5	5	101
7	7	53/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	102
7	7	107/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	103
7	7	27	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		3	69	A4	4	104
7	7	109/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	105
7	7	55/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		1	67	G4	4	106
7	7	111/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	107
8	8	28	4.0	0	0	4/4	2	2	1	1	1		2	62	D4	4	125
8	8	28	0.25	0	0	4/4	2	1	1/16	1/16	1		2	74	D5	5	109
8	8	113/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	110
8	8	57/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		0	72	C5	5	111
8	8	115/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	112
8	8	29	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	113
8	8	117/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	114
8	8	59/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		3	69	A4	4	115
8	8	119/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		3	81	A5	5	116
8	8	30	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		0	72	C5	5	117
8	8	121/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		2	74	D5	5	118
8	8	61/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	119
8	8	123/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	120
8	8	31	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		3	69	A4	4	121
8	8	125/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	122
8	8	63/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		1	67	G4	4	123
8	8	127/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		1	79	G5	5	124
9	9	32	4.0	0	0	4/4	2	2	1	1	1		2	62	D4	4	142
9	9	32	0.25	0	0	4/4	2	1	1/16	1/16	1		3	69	A4	4	126
9	9	129/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	127
9	9	65/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		0	72	C5	5	128
9	9	131/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	129
9	9	33	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	130
9	9	133/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		2	74	D5	5	131
9	9	67/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		1	67	G4	4	132
9	9	135/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	133
9	9	34	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		3	69	A4	4	134
9	9	137/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		0	72	C5	5	135
9	9	69/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	136
9	9	139/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		2	74	D5	5	137
9	9	35	0.25	3/4	3/4	4/4	2	1	1/16	1/16	1		1	67	G4	4	138
9	9	141/4	0.25	13/16	13/16	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	139
9	9	71/2	0.25	7/8	7/8	4/4	2	1	1/16	1/16	1		4	64	E4	4	140
9	9	143/4	0.25	15/16	15/16	4/4	2	1	1/16	1/16	1		0	72	C5	5	141
10	10	36	4.0	0	0	4/4	2	2	1	1	1		2	62	D4	4	159
10	10	36	0.25	0	0	4/4	2	1	1/16	1/16	1		3	69	A4	4	143
10	10	145/4	0.25	1/16	1/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	144
10	10	73/2	0.25	1/8	1/8	4/4	2	1	1/16	1/16	1		0	72	C5	5	145
10	10	147/4	0.25	3/16	3/16	4/4	2	1	1/16	1/16	1		-1	77	F5	5	146
10	10	37	0.25	1/4	1/4	4/4	2	1	1/16	1/16	1		-2	70	Bb4	4	147
10	10	149/4	0.25	5/16	5/16	4/4	2	1	1/16	1/16	1		2	74	D5	5	148
10	10	75/2	0.25	3/8	3/8	4/4	2	1	1/16	1/16	1		1	67	G4	4	149
10	10	151/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		4	76	E5	5	150
10	10	38	0.25	1/2	1/2	4/4	2	1	1/16	1/16	1		3	69	A4	4	151
10	10	153/4	0.25	9/16	9/16	4/4	2	1	1/16	1/16	1		0	72	C5	5	152
10	10	77/2	0.25	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	65	F4	4	153
10	10	155/4	0.25	11/16	11/16	4/4	2	1	1/16	1/16	1		2	74	D5	5	154
