fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	title_text	subtitle_text	composer_text	musescore	ms3_version	subdirectory	rel_path	has_drumset	ambitus	typesetter	pdf	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus
l113-01_childrens_doctor	1: 4/4	1: 0, 33: -2, 37: -4, 45: 0	76	76	304.0	76	76	304.0	707.25	1259	1033	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/doctor-gradus-ad-parnassum		"<font face=""Times New Roman""/>Doctor Gradus ad Parnassum"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.8	MS3	MS3/l113-01_childrens_doctor.mscx	False	24-89 (C1-F6)	https://musescore.com/nicolas		Piano	36-89 (C2-F6)	Piano	24-79 (C1-G5)
l113-02_childrens_jimbos	1: 2/2	1: -2	81	81	324.0	81	81	324.0	1013.0	716	403	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/jimbos-lullaby		"<font face=""Times New Roman""/>Jimbo's Lullaby"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.8	MS3	MS3/l113-02_childrens_jimbos.mscx	False	29-83 (F1-B5)	https://musescore.com/nicolas		Piano	41-83 (F2-B5)	Piano	29-61 (F1-Db4)
l113-03_childrens_serenade	1: 3/4	1: 4	124	124	372.0	124	124	372.0	942.0	1283	580	0	0	0	1908	1908	Claude Debussy	Serenade for the Doll								2019-05-20	3.02	Microsoft Windows	https://musescore.com/user/29737597/scores/5703647		Serenade for the Doll	 (Serenade a la poupee)	Claude Debussy	3.6.2	1.2.8	MS3	MS3/l113-03_childrens_serenade.mscx	False	40-88 (E2-E6)	https://musescore.com/user/29737597		Piano	55-88 (G3-E6)	Piano	40-80 (E2-G#5)
l113-04_childrens_snow	1: 4/4, 48: 2/4, 49: 4/4, 52: 2/4, 53: 4/4	1: -1	74	74	292.0	74	74	292.0	676.0	1411	1171	0	0	0	1906	1908										2022-03-09		Microsoft Windows			IV. The Snow is Dancing			3.6.2	1.2.8	MS3	MS3/l113-04_childrens_snow.mscx	False	36-93 (C2-A6)	tunescribers.com	https://imslp.org/wiki/Special:ReverseLookup/82215	Piano	58-93 (Bb3-A6)	Piano	36-86 (C2-D6)
l113-05_childrens_little	1: 4/4	1: 3	31	31	124.0	31	31	124.0	391.5	336	221	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/the-little-shepherd		"<font face=""Times New Roman""/>The Little Shepherd"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.8	MS3	MS3/l113-05_childrens_little.mscx	False	28-88 (E1-E6)	https://musescore.com/nicolas		Piano	56-88 (G#3-E6)	Piano	28-77 (E1-E#5)
l113-06_childrens_golliwoggs	1: 2/4	1: -3, 47: -6, 90: -3	128	128	256.0	128	128	256.0	806.5	1320	539	0	0	0	1906	1908	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/golliwoggs-cakewalk		"<font face=""Times New Roman""/>Golliwogg's cakewalk"		"<font face=""Times New Roman""/>Claude Debussy"	3.6.2	1.2.8	MS3	MS3/l113-06_childrens_golliwoggs.mscx	False	22-94 (Bb0-Bb6)	https://musescore.com/nicolas		Piano	41-94 (F2-Bb6)	Piano	22-71 (Bb0-Cb5)
